[C-CORE] Booting Headless Unity Build...
[C-CORE] Routing to scripts/bot.lua...
[BOT:50004] Booting Headless Chaos Node...
[LAB] Initializing Headless Node on Port 50004...
[HEARTBEAT] Node: 0 | Tick:    61 | Conf:    57 | Hash: 0x09393B5E | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls:  2
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 32
[BOT:50004] Heartbeat - Sparse Mods Tracked: 69
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 32
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[BOT:50004] Heartbeat - Sparse Mods Tracked: 69
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[BOT:50004] Heartbeat - Sparse Mods Tracked: 69
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 32
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
[BOT:50004] Heartbeat - Sparse Mods Tracked: 69
[HEARTBEAT] Node: 0 | Tick:   118 | Conf:    57 | Hash: 0x7BCD1E6C | Rollbacks:  0 (Resim:   0) | Stalls: 31
