[C-CORE] Booting Headless Unity Build...
[C-CORE] Routing to scripts/bot.lua...
[BOT:50006] Booting Headless Chaos Node...
[LAB] Initializing Headless Node on Port 50006...
[HEARTBEAT] Node: 0 | Tick:    61 | Conf:    59 | Hash: 0x48499267 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   121 | Conf:   119 | Hash: 0xF038F7E9 | Rollbacks:  3 (Resim:  26) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   181 | Conf:   179 | Hash: 0x1CE7BB06 | Rollbacks:  4 (Resim:  24) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   241 | Conf:   239 | Hash: 0xC4AB8995 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   301 | Conf:   299 | Hash: 0x90850FEF | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   361 | Conf:   359 | Hash: 0xDA53A3DA | Rollbacks: 11 (Resim:  11) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   421 | Conf:   419 | Hash: 0xD463FF04 | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   481 | Conf:   479 | Hash: 0x3AA97CC0 | Rollbacks: 23 (Resim:  23) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   541 | Conf:   539 | Hash: 0xDFC5A293 | Rollbacks: 23 (Resim:  23) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 1046
[HEARTBEAT] Node: 0 | Tick:   601 | Conf:   599 | Hash: 0xAC225D6D | Rollbacks: 21 (Resim:  21) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   661 | Conf:   659 | Hash: 0xF30C47EF | Rollbacks: 20 (Resim:  20) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   721 | Conf:   719 | Hash: 0x32FCAC1C | Rollbacks: 19 (Resim:  19) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   781 | Conf:   779 | Hash: 0xC9C62062 | Rollbacks: 20 (Resim:  20) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   841 | Conf:   839 | Hash: 0x3A52E59E | Rollbacks: 21 (Resim:  21) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   901 | Conf:   899 | Hash: 0x356E33CB | Rollbacks: 21 (Resim:  21) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:   961 | Conf:   959 | Hash: 0xA0E82F54 | Rollbacks: 20 (Resim:  20) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1021 | Conf:  1019 | Hash: 0xAAA4C66C | Rollbacks: 20 (Resim:  20) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1081 | Conf:  1079 | Hash: 0xB7373BE5 | Rollbacks:  2 (Resim:   3) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1141 | Conf:  1139 | Hash: 0x52AFD155 | Rollbacks: 20 (Resim:  20) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  1201 | Conf:  1199 | Hash: 0xC1430AD7 | Rollbacks:  1 (Resim:   1) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1261 | Conf:  1259 | Hash: 0xA1A306C7 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1321 | Conf:  1319 | Hash: 0xCF9589E1 | Rollbacks:  6 (Resim:   6) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1381 | Conf:  1379 | Hash: 0xAA135732 | Rollbacks: 12 (Resim:  12) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1441 | Conf:  1439 | Hash: 0xF334CDD2 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1501 | Conf:  1499 | Hash: 0xFA41883D | Rollbacks: 21 (Resim:  21) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1561 | Conf:  1559 | Hash: 0xD5087B8C | Rollbacks:  4 (Resim:   4) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1621 | Conf:  1619 | Hash: 0x8C715D73 | Rollbacks: 16 (Resim:  16) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1681 | Conf:  1679 | Hash: 0x669AB6C2 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1741 | Conf:  1739 | Hash: 0x9A80621F | Rollbacks:  0 (Resim:   0) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  1801 | Conf:  1799 | Hash: 0xD0054F74 | Rollbacks: 18 (Resim:  18) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1861 | Conf:  1859 | Hash: 0x9CAC5D93 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1921 | Conf:  1919 | Hash: 0x4E32E79F | Rollbacks:  2 (Resim:   2) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  1981 | Conf:  1979 | Hash: 0x2D4A9BB8 | Rollbacks: 11 (Resim:  11) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2041 | Conf:  2039 | Hash: 0x28292B22 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2101 | Conf:  2099 | Hash: 0xAA225864 | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2161 | Conf:  2159 | Hash: 0xE1E85C3E | Rollbacks: 18 (Resim:  18) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2221 | Conf:  2219 | Hash: 0x1A4AC6A6 | Rollbacks: 11 (Resim:  11) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2281 | Conf:  2279 | Hash: 0x7C7E1BAA | Rollbacks:  1 (Resim:   1) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  2341 | Conf:  2339 | Hash: 0x4C3EC93A | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2401 | Conf:  2399 | Hash: 0x76549989 | Rollbacks: 16 (Resim:  16) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2461 | Conf:  2459 | Hash: 0x5F373191 | Rollbacks: 13 (Resim:  13) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2521 | Conf:  2519 | Hash: 0xBA0EE2B7 | Rollbacks:  3 (Resim:   3) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2581 | Conf:  2579 | Hash: 0x72ECED0C | Rollbacks: 14 (Resim:  14) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2641 | Conf:  2639 | Hash: 0x6A091E2B | Rollbacks:  7 (Resim:   7) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2701 | Conf:  2699 | Hash: 0x73DBE8F8 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2761 | Conf:  2759 | Hash: 0x3F281D00 | Rollbacks:  9 (Resim:   9) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  2821 | Conf:  2819 | Hash: 0x2897B627 | Rollbacks:  7 (Resim:   7) | Stalls:  0
